Case ID,Activity,Complete Timestamp,Variant,Variant index,lifecycle:transition,noise
0,Start,2017-09-15 14:46:25.000,Variant 52,52,Start,Start
0,start_event_Loan  application received,2017-09-15 14:46:25.000,Variant 52,52,complete,
0,Check  application  form completeness,2017-09-15 16:09:29.611,Variant 52,52,complete,
0,Return application back to applicant,2017-09-15 16:51:36.741,Variant 52,52,complete,
0,Receive updated application,2017-09-15 17:36:20.783,Variant 52,52,complete,
0,Check  application  form completeness,2017-09-15 18:04:39.153,Variant 52,52,complete,
0,Return application back to applicant,2017-09-15 19:14:10.648,Variant 52,52,complete,
0,Receive updated application,2017-09-15 19:58:52.872,Variant 52,52,complete,
0,Check  application  form completeness,2017-09-15 21:00:36.000,Variant 52,52,complete,
0,Return application back to applicant,2017-09-15 22:46:38.733,Variant 52,52,complete,
0,Receive updated application,2017-09-15 23:26:19.528,Variant 52,52,complete,
0,Check  application  form completeness,2017-09-16 00:33:05.700,Variant 52,52,complete,
0,Return application back to applicant,2017-09-16 01:13:23.393,Variant 52,52,complete,
0,Receive updated application,2017-09-16 01:27:34.445,Variant 52,52,complete,
0,Check  application  form completeness,2017-09-16 05:27:02.223,Variant 52,52,complete,
0,Return application back to applicant,2017-09-16 05:35:45.581,Variant 52,52,complete,
0,Receive updated application,2017-09-16 05:42:48.415,Variant 52,52,complete,
0,Check  application  form completeness,2017-09-16 09:08:43.676,Variant 52,52,complete,
0,Return application back to applicant,2017-09-16 10:41:07.156,Variant 52,52,complete,
0,Receive updated application,2017-09-16 11:10:01.705,Variant 52,52,complete,
0,Check  application  form completeness,2017-09-16 12:57:32.930,Variant 52,52,complete,
0,Appraise property,2017-09-16 13:15:07.097,Variant 52,52,complete,
0,Check credit history,2017-09-16 13:35:41.820,Variant 52,52,complete,
0,Assess loan risk,2017-09-16 17:43:56.988,Variant 52,52,complete,
0,Assess eligibility,2017-09-16 18:02:27.137,Variant 52,52,complete,
0,Reject application,2017-09-16 19:54:30.728,Variant 52,52,complete,
0,end_event_Loan application rejected,2017-09-16 21:42:36.609,Variant 52,52,complete,
0,End,2017-09-16 21:42:36.609,Variant 52,52,End,End
1,Start,2017-09-16 16:24:45.115,Variant 53,53,Start,Start
1,start_event_Loan  application received,2017-09-16 16:24:45.115,Variant 53,53,complete,
1,Check  application  form completeness,2017-09-16 18:03:13.447,Variant 53,53,complete,
1,Return application back to applicant,2017-09-16 18:15:28.596,Variant 53,53,complete,
1,Receive updated application,2017-09-16 20:00:13.963,Variant 53,53,complete,
1,Check  application  form completeness,2017-09-16 20:21:29.236,Variant 53,53,complete,
1,Return application back to applicant,2017-09-16 22:09:16.864,Variant 53,53,complete,
1,Verify repayment agreement,2017-09-16 22:09:16.864,Variant 53,53,,true
1,Receive updated application,2017-09-16 22:53:47.716,Variant 53,53,complete,
1,Check  application  form completeness,2017-09-16 23:35:33.331,Variant 53,53,complete,
1,Return application back to applicant,2017-09-17 00:39:40.963,Variant 53,53,complete,
1,Receive updated application,2017-09-17 00:55:22.988,Variant 53,53,complete,
1,Check  application  form completeness,2017-09-17 01:04:57.889,Variant 53,53,complete,
1,Check credit history,2017-09-17 01:28:36.207,Variant 53,53,complete,
1,Assess loan risk,2017-09-17 04:00:13.178,Variant 53,53,complete,
1,Appraise property,2017-09-17 04:33:30.175,Variant 53,53,complete,
