Case ID,Activity,Complete Timestamp,Variant,Variant index,lifecycle:transition,noise
0,Start,2017-09-15 14:46:25.000,Variant 1,1,Start,Start
0,start_event_Loan  application received,2017-09-15 14:46:25.000,Variant 1,1,complete,
0,Check  application  form completeness,2017-09-15 14:49:50.739,Variant 1,1,complete,
0,Appraise property,2017-09-15 15:24:45.563,Variant 1,1,complete,
0,Check credit history,2017-09-15 18:23:05.595,Variant 1,1,complete,
0,Assess loan risk,2017-09-15 18:27:07.788,Variant 1,1,complete,
0,Assess eligibility,2017-09-15 20:48:56.952,Variant 1,1,complete,
0,Reject application,2017-09-15 23:13:36.780,Variant 1,1,complete,
0,end_event_Loan application rejected,2017-09-16 00:28:00.877,Variant 1,1,complete,
0,End,2017-09-16 00:28:00.877,Variant 1,1,End,End
1,Start,2017-09-16 22:28:03.246,Variant 26,26,Start,Start
1,start_event_Loan  application received,2017-09-16 22:28:03.246,Variant 26,26,complete,
1,Check  application  form completeness,2017-09-16 22:42:09.817,Variant 26,26,complete,
1,Appraise property,2017-09-16 23:20:47.010,Variant 26,26,complete,
1,Check credit history,2017-09-17 01:24:50.812,Variant 26,26,complete,
1,Assess loan risk,2017-09-17 07:03:07.024,Variant 26,26,complete,
1,Assess eligibility,2017-09-17 08:07:20.639,Variant 26,26,complete,
1,Cancel application,2017-09-17 08:07:20.639,Variant 26,26,,true
1,Check if home insurance quote is requested,2017-09-17 09:38:14.105,Variant 26,26,complete,
1,Send acceptance pack,2017-09-17 10:33:46.637,Variant 26,26,complete,
1,Verify repayment agreement,2017-09-17 11:22:10.671,Variant 26,26,complete,
1,end_event_Loan  application canceled,2017-09-17 11:22:10.671,Variant 26,26,,true
1,Approve application,2017-09-17 13:17:23.427,Variant 26,26,complete,
1,end_event_Loan  application approved,2017-09-17 14:06:41.787,Variant 26,26,complete,
1,End,2017-09-17 14:06:41.787,Variant 26,26,End,End
2,Start,2017-09-17 11:33:47.154,Variant 27,27,Start,Start
2,start_event_Loan  application received,2017-09-17 11:33:47.154,Variant 27,27,complete,
2,Check  application  form completeness,2017-09-17 11:47:11.640,Variant 27,27,complete,
2,Approve application,2017-09-17 11:47:11.640,Variant 27,27,,true
2,Return application back to applicant,2017-09-17 13:49:22.338,Variant 27,27,complete,
2,Receive updated application,2017-09-17 14:24:32.915,Variant 27,27,complete,
2,Check  application  form completeness,2017-09-17 14:25:17.264,Variant 27,27,complete,
2,Approve application,2017-09-17 14:25:17.264,Variant 27,27,,true
2,Return application back to applicant,2017-09-17 15:59:19.713,Variant 27,27,complete,
2,Receive updated application,2017-09-17 16:03:00.697,Variant 27,27,complete,
2,Check  application  form completeness,2017-09-17 16:13:56.136,Variant 27,27,complete,
2,end_event_Loan  application canceled,2017-09-17 16:13:56.136,Variant 27,27,,true
2,Return application back to applicant,2017-09-17 17:02:08.827,Variant 27,27,complete,
2,Receive updated application,2017-09-17 17:58:52.064,Variant 27,27,complete,
2,Check  application  form completeness,2017-09-17 18:52:51.121,Variant 27,27,complete,
2,Appraise property,2017-09-17 21:02:47.860,Variant 27,27,complete,
2,Check credit history,2017-09-17 21:27:25.743,Variant 27,27,complete,
2,start_event_Loan  application received,2017-09-17 21:27:25.743,Variant 27,27,,true
2,Assess loan risk,2017-09-18 01:25:02.413,Variant 27,27,complete,
2,Assess eligibility,2017-09-18 02:33:47.120,Variant 27,27,complete,
2,Reject application,2017-09-18 02:49:07.564,Variant 27,27,complete,
2,end_event_Loan application rejected,2017-09-18 03:35:56.914,Variant 27,27,complete,
2,Verify repayment agreement,2017-09-18 03:35:56.914,Variant 27,27,,true
2,End,2017-09-18 03:35:56.914,Variant 27,27,End,End
3,Start,2017-09-18 03:35:56.914,Variant 28,28,Start,Start
3,end_event_Loan application rejected,2017-09-18 03:35:56.914,Variant 28,28,,true
3,start_event_Loan  application received,2017-09-20 04:54:09.799,Variant 28,28,complete,
3,Check  application  form completeness,2017-09-20 05:10:49.265,Variant 28,28,complete,
3,Appraise property,2017-09-20 05:29:00.744,Variant 28,28,complete,
3,end_event_Loan  application approved,2017-09-20 05:29:00.744,Variant 28,28,,true
3,Check credit history,2017-09-20 05:44:09.057,Variant 28,28,complete,
3,Assess loan risk,2017-09-20 05:57:53.656,Variant 28,28,complete,
3,Assess eligibility,2017-09-20 06:41:56.603,Variant 28,28,complete,
3,Check if home insurance quote is requested,2017-09-20 07:19:20.322,Variant 28,28,complete,
3,Send acceptance pack,2017-09-20 08:16:56.756,Variant 28,28,complete,
