Case ID,Activity,Complete Timestamp,Variant,Variant index
0,Start,2017-09-15 14:46:25.000,Variant 16,16
0,start_event_Loan  application received,2017-09-15 14:46:25.000,Variant 16,16
0,Check  application  form completeness,2017-09-15 15:14:23.349,Variant 16,16
0,Send acceptance pack,2017-09-15 15:14:23.349,Variant 16,16
0,Appraise property,2017-09-15 17:15:52.828,Variant 16,16
0,Check credit history,2017-09-15 20:34:38.304,Variant 16,16
0,Assess loan risk,2017-09-15 23:14:12.213,Variant 16,16
0,Assess eligibility,2017-09-15 23:25:33.488,Variant 16,16
0,Reject application,2017-09-16 00:40:31.029,Variant 16,16
0,end_event_Loan application rejected,2017-09-16 00:43:53.391,Variant 16,16
0,End,2017-09-16 00:43:53.391,Variant 16,16
1,Start,2017-09-16 00:43:53.391,Variant 17,17
1,Check  application  form completeness,2017-09-16 00:43:53.391,Variant 17,17
1,start_event_Loan  application received,2017-09-16 16:55:30.692,Variant 17,17
1,Check  application  form completeness,2017-09-16 18:06:10.189,Variant 17,17
1,Return application back to applicant,2017-09-16 18:38:29.085,Variant 17,17
1,Receive updated application,2017-09-16 18:51:19.016,Variant 17,17
1,Check  application  form completeness,2017-09-16 21:58:19.408,Variant 17,17
1,Appraise property,2017-09-16 23:30:39.391,Variant 17,17
1,Check credit history,2017-09-17 01:20:35.575,Variant 17,17
1,Assess loan risk,2017-09-17 01:22:23.801,Variant 17,17
1,Assess eligibility,2017-09-17 02:20:56.582,Variant 17,17
1,Reject application,2017-09-17 02:27:22.683,Variant 17,17
1,end_event_Loan application rejected,2017-09-17 02:32:43.884,Variant 17,17
1,End,2017-09-17 02:32:43.884,Variant 17,17
2,Start,2017-09-17 01:17:29.228,Variant 18,18
2,start_event_Loan  application received,2017-09-17 01:17:29.228,Variant 18,18
2,Verify repayment agreement,2017-09-17 01:17:29.228,Variant 18,18
2,Check  application  form completeness,2017-09-17 02:22:24.059,Variant 18,18
2,Check credit history,2017-09-17 03:11:57.848,Variant 18,18
2,Appraise property,2017-09-17 05:29:05.454,Variant 18,18
2,Assess loan risk,2017-09-17 09:01:05.717,Variant 18,18
2,Verify repayment agreement,2017-09-17 09:01:05.717,Variant 18,18
2,Assess eligibility,2017-09-17 10:38:04.576,Variant 18,18
2,Reject application,2017-09-17 11:52:11.410,Variant 18,18
2,end_event_Loan application rejected,2017-09-17 12:23:53.246,Variant 18,18
2,End,2017-09-17 12:23:53.246,Variant 18,18
3,Start,2017-09-17 04:59:51.658,Variant 19,19
3,start_event_Loan  application received,2017-09-17 04:59:51.658,Variant 19,19
3,Receive updated application,2017-09-17 04:59:51.658,Variant 19,19
3,Check  application  form completeness,2017-09-17 05:17:58.125,Variant 19,19
3,Appraise property,2017-09-17 05:25:24.052,Variant 19,19
3,Check credit history,2017-09-17 06:45:44.611,Variant 19,19
3,Assess loan risk,2017-09-17 06:48:48.321,Variant 19,19
3,Assess eligibility,2017-09-17 07:41:45.109,Variant 19,19
3,Check if home insurance quote is requested,2017-09-17 07:45:52.298,Variant 19,19
3,Send home insurance quote,2017-09-17 08:33:04.296,Variant 19,19
3,end_event_Loan  application approved,2017-09-17 08:33:04.296,Variant 19,19
3,Verify repayment agreement,2017-09-17 09:17:24.176,Variant 19,19
3,Approve application,2017-09-17 09:38:21.951,Variant 19,19
3,Send home insurance quote,2017-09-17 09:38:21.951,Variant 19,19
3,end_event_Loan  application approved,2017-09-17 11:50:12.181,Variant 19,19
3,End,2017-09-17 11:50:12.181,Variant 19,19
4,Start,2017-09-17 11:50:12.181,Variant 20,20
4,Assess eligibility,2017-09-17 11:50:12.181,Variant 20,20
4,start_event_Loan  application received,2017-09-17 19:59:40.414,Variant 20,20
4,Assess eligibility,2017-09-17 19:59:40.414,Variant 20,20
4,Check  application  form completeness,2017-09-17 20:19:47.052,Variant 20,20
4,Return application back to applicant,2017-09-17 20:21:45.085,Variant 20,20
4,Receive updated application,2017-09-17 20:26:02.211,Variant 20,20
4,Check  application  form completeness,2017-09-17 20:43:53.257,Variant 20,20
4,Check credit history,2017-09-17 21:17:51.898,Variant 20,20
4,start_event_Loan  application received,2017-09-17 21:17:51.898,Variant 20,20
4,Assess loan risk,2017-09-17 21:49:07.734,Variant 20,20
4,Appraise property,2017-09-17 22:44:24.308,Variant 20,20
4,Assess eligibility,2017-09-17 23:36:08.525,Variant 20,20
4,Check if home insurance quote is requested,2017-09-17 23:42:46.100,Variant 20,20
4,Send home insurance quote,2017-09-18 01:42:24.561,Variant 20,20
4,Verify repayment agreement,2017-09-18 02:15:09.462,Variant 20,20
4,Cancel application,2017-09-18 02:46:12.796,Variant 20,20
4,end_event_Loan  application canceled,2017-09-18 03:55:08.335,Variant 20,20
4,End,2017-09-18 03:55:08.335,Variant 20,20
5,Start,2017-09-18 14:02:36.754,Variant 21,21
5,start_event_Loan  application received,2017-09-18 14:02:36.754,Variant 21,21
5,Check  application  form completeness,2017-09-18 14:11:36.901,Variant 21,21
5,Return application back to applicant,2017-09-18 14:31:56.297,Variant 21,21
5,Receive updated application,2017-09-18 15:06:11.931,Variant 21,21
5,Check  application  form completeness,2017-09-18 15:45:47.176,Variant 21,21
5,Approve application,2017-09-18 15:45:47.176,Variant 21,21
5,Return application back to applicant,2017-09-18 17:21:01.575,Variant 21,21
5,Receive updated application,2017-09-18 19:31:03.451,Variant 21,21
